fold,mae,rmse,r2,pearson,spearman,samples,valid_samples
1,1.0900438656073348,1.983012944851542,0.0968850296802887,0.4616476590548563,0.5493224150007742,65,65
2,1.1796464708768402,2.06402393720732,0.0194358668598834,0.3779683356208396,0.5641205364562226,65,65
3,1.020293378683237,1.8028477983145923,0.3119176639067526,0.6028784844295991,0.5653991283316898,65,65
4,1.0856051201453576,1.5597909998669184,0.2492818369210812,0.5822294567487531,0.4538649067026472,65,65
5,0.8803841681663807,1.501659841963663,0.2709258141537894,0.5501414098563026,0.5327268720272508,65,65
6,0.915048368051648,1.5113340216154272,0.2356162276253555,0.5637235830976773,0.5207057291798638,64,64
7,1.2558393403887749,2.1641665917922395,0.2822249112336409,0.6946247757547857,0.6794219082377788,64,64
8,0.9401531782746316,1.7158627407000318,-0.1426316197831012,0.1807462451454244,0.3875030549803966,64,64
9,1.0049359238147737,1.5544088561739675,0.2182263275430114,0.5277157658730716,0.5673138589594549,64,64
10,0.6554627449171884,1.0208061532100188,0.6614320505868934,0.8207502283186079,0.710424902042605,63,63
