fold,mae,rmse,r2,pearson,spearman
1,0.9952683146844289,1.5629588107051244,0.2734505721136117,0.5241235396162807,0.5304454300975127
2,1.236237800163959,1.9030622073957666,0.11396144570844013,0.4152860325873002,0.5982796046497545
3,0.7997114415550652,1.2880778892086295,0.5609796940274417,0.7583808948845909,0.7743777743970692
4,1.0759718738948365,1.6602110803157153,0.21719808248175976,0.5099980818433176,0.6738650651684828
5,0.7444757825506679,1.1537356692739205,0.5605939018878093,0.7691950328204189,0.6447692271529577
6,1.0333602455014907,1.4794333002076756,0.41112310221201576,0.6457802746658029,0.668498560141928
7,1.293167814654441,2.296777775807364,0.25649255952451466,0.5901914534254531,0.6942852796639915
8,0.8444192675246951,1.2983122516086791,0.204577319974372,0.5991284184929279,0.6130955290870876
9,0.9777322182239303,1.5347635250723128,0.23141521069346527,0.5078706328124638,0.5485522090349076
10,0.796476325094017,1.4045013250821268,0.4830891163740938,0.7330678513928854,0.6361991999130453
