fold,mae,rmse,r2,pearson,spearman,samples
1,0.9279203970843408,1.3027946150299825,0.565099896960814,0.7709586716096212,0.6805372172178136,114
2,1.1356482885083572,1.5725854431496884,0.6337182302514037,0.7985203041387309,0.6937521963801591,113
3,0.8561910149946362,1.151372858054893,0.6050964124207227,0.7997362969787715,0.7557134926112312,113
4,1.032382472521418,1.274983379209567,0.8220829041003315,0.9071998234036472,0.7771891010712624,113
5,1.0380788321144514,1.4727050170940486,0.5204542134099239,0.7264866251224574,0.6696887723399659,113
6,1.1821087295016248,1.5482203277467732,0.594557521348734,0.7790544464013617,0.6609734949393301,113
7,0.9771280217094273,1.287704164940751,0.7763782619293019,0.8899906300391547,0.763974524422383,113
8,1.059984773776434,1.484731640417993,0.6724273122396156,0.8258511888935333,0.71448681400866,113
9,0.939575592640791,1.2421733034202826,0.647458456843836,0.8133690919734302,0.7292722789016041,113
10,1.1057821308126077,1.5360679229188123,0.6798395086865259,0.8416541470710647,0.6012563871106964,113
